日付,米ドル,英ポンド,ユーロ,カナダドル,スイスフラン,スウェーデンクローネ,デンマーククローネ,ノルウェークローネ,オーストラリアドル,ニュージーランドドル,南アフリカランド,バーレーンディナール,香港ドル,インドルピー,フィリピンペソ,シンガポールドル,タイバーツ,クウェートディナール,サウジアラビアリアル,UAEディルハム,メキシコペソ,インドネシアルピア,台湾ドル
2002/6/17,124.2,183.36,117.33,80.27,79.49,12.87,15.79,15.81,69.74,60.17,11.87,330.14,15.92,2.56,2.47,69.48,2.95,410.31,33.13,33.83,12.88,1.45,3.67
2002/6/18,124.35,183.96,117.42,80.39,79.53,13,15.81,15.84,69.37,60.07,11.8,330.54,15.94,2.56,2.48,69.4,2.95,410.8,33.17,33.87,12.96,1.45,3.67
2002/6/19,124.35,185.64,118.41,80.56,80.28,13.07,15.95,16.02,70.2,60.57,12.17,330.54,15.94,2.56,2.49,69.51,2.94,412.57,33.17,33.87,12.83,1.46,3.67
2002/6/20,124.25,185.16,118.8,80.65,80.73,13.1,16,16.16,70.29,60.62,12.18,330.28,15.93,2.56,2.49,69.59,2.95,415,33.15,33.84,12.77,1.47,3.67
2002/6/21,123.45,185.06,119.15,80.78,81.06,13.16,16.02,16.16,70.7,60.8,11.91,328.15,15.83,2.54,2.47,69.52,2.93,410,32.93,33.62,12.48,1.46,3.66
2002/6/24,121.65,182.24,118.3,80.04,80.63,13.08,15.93,16.02,69.9,60.58,11.85,323.37,15.6,2.5,2.44,68.68,2.9,403.48,32.45,33.13,12.26,1.43,3.62
2002/6/25,121.6,182.51,117.98,79.89,80.38,13.05,15.89,16.03,69.52,59.79,11.89,323.23,15.59,2.5,2.43,68.73,2.9,403.05,32.44,33.12,12.35,1.44,3.63
2002/6/26,121.2,183.34,119.39,80.13,81.37,13.13,16.08,16.21,69.65,60.14,11.7,322.17,15.54,2.49,2.42,68.57,2.9,404.81,32.33,33.01,12.28,1.42,3.62
2002/6/27,120.15,183.24,118.04,79.1,80.36,13,15.9,16,67.72,58.89,11.67,319.38,15.4,2.48,2.4,68,2.88,400.77,32.05,32.72,12.08,1.41,3.58
2002/6/28,119.45,182.67,117.98,79.03,80.17,12.99,15.91,15.99,67.53,58.54,11.55,317.52,15.31,2.47,2.37,67.69,2.87,398.96,31.87,32.53,12.01,1.39,3.58
2002/7/1,119.8,183.61,118.95,79,80.89,13.12,16.02,16.03,67.26,58.29,11.68,318.45,15.36,2.47,2.38,67.82,2.88,398.8,31.96,32.63,12.06,1.4,3.58
2002/7/2,119.8,183.55,118.57,78.99,80.65,13.06,15.97,16.06,67.24,58.35,12.02,318.45,15.36,2.47,2.39,67.75,2.88,400,31.96,32.63,12.03,1.39,3.57
2002/7/3,120.15,183.99,118.07,78.66,80.6,13.03,15.91,16.07,67.43,58.6,11.97,319.38,15.4,2.48,2.38,67.8,2.89,401.03,32.05,32.72,12.06,1.39,3.6
2002/7/4,119.95,183.09,117.47,78.3,80.28,12.91,15.83,16.04,66.93,58.38,11.84,318.85,15.38,2.48,2.37,67.84,2.88,400.23,32,32.67,12.06,1.36,3.6
